quarter,avg_consumer_price_index
2001Q2,177.13333333333335
2001Q3,177.63333333333333
2001Q4,177.5
2002Q1,178.0666666666667
2002Q2,179.46666666666667
2002Q3,180.4333333333333
2002Q4,181.5
2003Q1,183.36666666666667
2003Q2,183.0666666666667
2003Q3,184.4333333333333
2003Q4,185.13333333333333
2004Q1,186.70000000000002
2004Q2,188.16666666666666
2004Q3,189.36666666666665
2004Q4,191.4
2005Q1,192.36666666666667
2005Q2,193.66666666666666
2005Q3,196.6
2005Q4,198.4333333333333
2006Q1,199.4666666666667
2006Q2,201.26666666666665
2006Q3,203.16666666666666
2006Q4,202.33333333333334
2007Q1,204.317
2007Q2,206.631
2007Q3,207.939
2007Q4,210.4896666666667
2008Q1,212.76966666666667
2008Q2,215.53766666666664
2008Q3,218.86100000000002
2008Q4,213.84866666666667
2009Q1,212.37766666666667
2009Q2,213.50699999999998
2009Q3,215.34399999999997
2009Q4,217.03
2010Q1,217.374
2010Q2,217.29733333333334
2010Q3,217.93433333333334
2010Q4,219.69899999999998
2011Q1,222.0436666666667
2011Q2,224.5683333333333
2011Q3,226.03266666666664
2011Q4,227.0473333333333
2012Q1,228.32600000000002
2012Q2,228.808
2012Q3,229.841
2012Q4,231.36933333333334
2013Q1,232.29933333333335
2013Q2,232.045
2013Q3,233.29999999999998
2013Q4,234.1626666666667
2014Q1,235.62099999999998
2014Q2,236.87233333333333
2014Q3,237.47833333333332
2014Q4,236.88833333333332
2015Q1,235.31966666666665
2015Q2,236.93800000000002
2015Q3,237.86233333333334
2015Q4,237.87133333333335
2016Q1,237.78
2016Q2,239.48600000000002
2016Q3,240.601
2016Q4,242.16400000000002
2017Q1,243.83
2017Q2,244.06500000000003
2017Q3,245.36833333333334
2017Q4,247.2733333333333
2018Q1,249.25033333333332
2018Q2,250.57866666666666
2018Q3,251.82866666666666
2018Q4,252.759
2019Q1,253.31133333333332
2019Q2,255.13933333333333
2019Q3,256.27299999999997
