date,output_gap,quarter
1980-07-01,-3.0848341712911314,1980Q3
1980-10-01,-1.7684755341541478,1980Q4
1981-01-01,-0.37369319241083593,1981Q1
1981-04-01,-1.7138601442458452,1981Q2
1981-07-01,-1.1861538679392232,1981Q3
1981-10-01,-2.9444561625536103,1981Q4
1982-01-01,-5.211996931017647,1982Q1
1982-04-01,-5.555580153305477,1982Q2
1982-07-01,-6.700223652255046,1982Q3
1982-10-01,-7.446501945631173,1982Q4
1983-01-01,-6.972289335510953,1983Q1
1983-04-01,-5.605790347635117,1983Q2
1983-07-01,-4.482404049260691,1983Q3
1983-10-01,-3.2761019964419846,1983Q4
1984-01-01,-2.207558511819976,1984Q1
1984-04-01,-1.3813687769616416,1984Q2
1984-07-01,-1.311484039957885,1984Q3
1984-10-01,-1.396493147896016,1984Q4
1985-01-01,-1.355972162686906,1985Q1
1985-04-01,-1.4097426929802648,1985Q2
1985-07-01,-0.8343666085062676,1985Q3
1985-10-01,-1.0207932323913445,1985Q4
1986-01-01,-0.9986514069106284,1986Q1
1986-04-01,-1.4400775445821141,1986Q2
1986-07-01,-1.37443309304435,1986Q3
1986-10-01,-1.708142066158724,1986Q4
1987-01-01,-1.8259125457445808,1987Q1
1987-04-01,-1.608036285398616,1987Q2
1987-07-01,-1.5841886748933225,1987Q3
1987-10-01,-0.7232655488711485,1987Q4
1988-01-01,-1.027655519760425,1988Q1
1988-04-01,-0.5396169944641972,1988Q2
1988-07-01,-0.7596964116301133,1988Q3
1988-10-01,-0.23460043627022176,1988Q4
1989-01-01,-0.010898104916231804,1989Q1
1989-04-01,-0.03404148635833488,1989Q2
1989-07-01,-0.06897558759585952,1989Q3
1989-10-01,-0.6266115613762009,1989Q4
1990-01-01,-0.2803635743665153,1990Q1
1990-04-01,-0.6331820442018176,1990Q2
1990-07-01,-1.2565638100040977,1990Q3
1990-10-01,-2.815104302545212,1990Q4
1991-01-01,-3.895584286321552,1991Q1
1991-04-01,-3.749979393339928,1991Q2
1991-07-01,-3.851089104855144,1991Q3
1991-10-01,-4.093518735303399,1991Q4
1992-01-01,-3.522934480141665,1992Q1
1992-04-01,-3.051654243494181,1992Q2
1992-07-01,-2.669236692366924,1992Q3
1992-10-01,-2.235620414736465,1992Q4
1993-01-01,-2.6602932748364654,1993Q1
1993-04-01,-2.6895268213156287,1993Q2
1993-07-01,-2.8243923865300142,1993Q3
1993-10-01,-2.111333145789479,1993Q4
1994-01-01,-1.777120106427077,1994Q1
1994-04-01,-1.0660835576674361,1994Q2
1994-07-01,-1.1111661160880035,1994Q3
1994-10-01,-0.6085500487195739,1994Q4
1995-01-01,-0.8860395378787166,1995Q1
1995-04-01,-1.2088374048297443,1995Q2
1995-07-01,-1.0010303632262434,1995Q3
1995-10-01,-0.9804865453069956,1995Q4
1996-01-01,-0.9205011723329422,1996Q1
1996-04-01,0.011112020441752826,1996Q2
1996-07-01,0.15050134021642012,1996Q3
1996-10-01,0.39042494135343725,1996Q4
1997-01-01,0.18187871201427544,1997Q1
1997-04-01,0.9302593609234234,1997Q2
1997-07-01,1.2361728459621049,1997Q3
1997-10-01,1.1194230819026905,1997Q4
1998-01-01,1.118530799206946,1998Q1
1998-04-01,1.0213089930887465,1998Q2
1998-07-01,1.2350365452399092,1998Q3
1998-10-01,1.8020630514934337,1998Q4
1999-01-01,1.7005141071999605,1999Q1
1999-04-01,1.401054681161772,1999Q2
1999-07-01,1.6446718844069836,1999Q3
1999-10-01,2.287546864078287,1999Q4
2000-01-01,1.5932004873639116,2000Q1
2000-04-01,2.389522083135595,2000Q2
2000-07-01,1.4965919855823664,2000Q3
2000-10-01,1.1372240950623118,2000Q4
2001-01-01,-0.07791128240006044,2001Q1
2001-04-01,-0.36271013754457454,2001Q2
2001-07-01,-1.5952747130279727,2001Q3
2001-10-01,-2.1033229644262947,2001Q4
2002-01-01,-1.97913297969636,2002Q1
2002-04-01,-2.080337099059174,2002Q2
2002-07-01,-2.3142552024706324,2002Q3
2002-10-01,-2.811694967494069,2002Q4
2003-01-01,-2.9210509452098687,2003Q1
2003-04-01,-2.7224540901502503,2003Q2
2003-07-01,-1.7094593169950028,2003Q3
2003-10-01,-1.2223913635506642,2003Q4
2004-01-01,-1.3441161575869411,2004Q1
2004-04-01,-1.262864505815556,2004Q2
2004-07-01,-1.0013893356511743,2004Q3
2004-10-01,-0.67727658995887,2004Q4
2005-01-01,-0.240410070776379,2005Q1
2005-04-01,-0.41818267224082506,2005Q2
2005-07-01,-0.14902897081577124,2005Q3
2005-10-01,-0.11272507889363283,2005Q4
2006-01-01,0.662816074901922,2006Q1
2006-04-01,0.3785175467366349,2006Q2
2006-07-01,0.03568980934540399,2006Q3
2006-10-01,0.402912652891542,2006Q4
2007-01-01,0.15856433595366157,2007Q1
2007-04-01,0.25017370940346906,2007Q2
2007-07-01,0.31977101582910716,2007Q3
2007-10-01,0.461882150482807,2007Q4
2008-01-01,-0.5755387924197917,2008Q1
2008-04-01,-0.5190691212226468,2008Q2
2008-07-01,-1.492467493272302,2008Q3
2008-10-01,-4.0246762842187,2008Q4
2009-01-01,-5.46149767644949,2009Q1
2009-04-01,-5.902838312556346,2009Q2
2009-07-01,-5.8412298918265515,2009Q3
