quarter,avg_consumer_price_index,gdp,gdp_pct_change,avg_housing_starts,output_gap,recession_actual,avg_unemployment_rate,fed_funds_avg_rate,fed_funds_percent_change_prev_quarter,fed_funds_st_dev_rate,10YT_minus_2YT_avg,10YT_minus_2YT_percent_change_prev_quarter,real_disp_pers_inc,personal_consumption_exp_excl_food_energy,tot_public_debt_as_pct_of_gdp,gross_private_domestic_invest,M2_velocity,median_sls_price_houses_sold_US,personal_consumption_expenditures
1975Q3,54.26666666666667,1709.82,14.8,1250.0,-3.8757230321685885,0.0,8.333333333333334,6.155869565217388,0.13609177097992642,0.21039550497597304,,,,,,,,,
1975Q4,55.26666666666666,1761.831,12.7,1341.6666666666667,-3.3610388738821877,0.0,7.8,5.411195652173912,-0.1209697354945788,0.4054893730164084,,,,,,,,,
1976Q1,55.9,1820.487,14.0,1442.0,-1.9511545440924298,0.0,8.533333333333333,4.826483516483517,-0.10805599598962794,0.17941493574872494,,,,,,,,,
1976Q2,56.4,1852.332,7.2,1449.666666666667,-1.9856432453865087,0.0,7.399999999999999,5.195384615384616,0.07643268595888092,0.3383269545944101,,,,,,,,,
1976Q3,57.3,1886.558,7.6,1557.0,-2.1991507361379807,0.0,7.599999999999999,5.283478260869566,0.016956135494585942,0.10061825127306627,1.096666666666667,0.3708333333333333,3.2,6.0,33.64333,328.30699999999996,1.7169999999999999,44400.0,1158.806
1976Q4,58.13333333333333,1934.273,10.5,1691.333333333333,-2.246705495721212,0.0,7.333333333333332,4.874239130434785,-0.07745638578011797,0.21194148941511803,1.4666666666666668,0.3373860182370821,2.6,6.0,33.78753,337.65,1.699,45500.0,1192.4080000000001
1977Q1,59.2,1988.648,11.7,1844.333333333333,-1.8771748603892957,0.0,8.233333333333334,4.66066666666667,-0.04381657486489874,0.14825426079103635,1.3266666666666669,-0.09545454545454538,0.9,6.2,33.65136,360.31300000000005,1.689,46300.0,1228.212
1977Q2,60.23333333333333,2055.909,14.2,1918.666666666667,-0.7766962313086355,0.0,6.933333333333334,5.157472527472528,0.10659545003701723,0.3328349387595848,1.2566666666666666,-0.0527638190954776,3.8,6.5,32.80422,389.70300000000003,1.7009999999999998,48900.0,1255.98
1977Q3,61.06666666666666,2118.473,12.7,2009.0,0.1860014608275906,0.0,6.8,5.816413043478257,0.12776423189764416,0.3443087724949932,0.8266666666666667,-0.3421750663129973,5.7,6.6,32.98791,414.134,1.713,48800.0,1286.905
1977Q4,61.96666666666666,2164.27,8.9,2075.333333333333,-0.6447894687116177,0.0,6.3,6.511304347826085,0.11947076302068756,0.15429540236079525,0.4533333333333333,-0.4516129032258065,7.9,6.5,33.21873,422.29900000000004,1.715,51600.0,1324.8039999999999
1978Q1,63.03333333333333,2202.76,7.3,1829.333333333333,-1.1695942042562493,0.0,6.866666666666667,6.759555555555551,0.03812618708451994,0.10949230244465466,0.4633333333333333,0.022058823529411787,3.2,6.4,33.5012,434.79900000000004,1.713,53000.0,1354.0529999999999
