quarter,fed_funds_avg_rate,fed_funds_percent_change_prev_quarter,fed_funds_st_dev_rate
1975Q4,5.411195652173912,-0.1209697354945788,0.4054893730164084
1976Q1,4.826483516483516,-0.10805599598962794,0.17941493574872497
1976Q2,5.195384615384616,0.07643268595888093,0.3383269545944101
1976Q3,5.283478260869565,0.01695613549458594,0.10061825127306628
1976Q4,4.874239130434785,-0.07745638578011797,0.211941489415118
1977Q1,4.66066666666667,-0.04381657486489874,0.14825426079103637
1977Q2,5.157472527472529,0.10659545003701724,0.3328349387595848
1977Q3,5.816413043478258,0.12776423189764416,0.3443087724949932
1977Q4,6.511304347826085,0.11947076302068756,0.15429540236079525
1978Q1,6.759555555555551,0.03812618708451994,0.10949230244465466
1978Q2,7.282637362637367,0.07738405325360555,0.3338523797689798
1978Q3,8.094782608695649,0.11151801272227133,0.35298874078756315
1978Q4,9.577826086956529,0.1832097969706749,0.5581520256234812
1979Q1,10.073222222222224,0.05172323351541594,0.30247602849685634
1979Q2,10.181978021978013,0.010796525417245961,0.20250223472138662
1979Q3,10.940108695652171,0.07445809370612634,0.5146864927872323
1979Q4,13.580217391304348,0.24132380848294607,1.1877478718847472
1980Q1,15.065274725274726,0.10935445959217753,1.8827493729822897
1980Q2,12.668901098901095,-0.15906604227756166,3.840457857700892
1980Q3,9.823152173913048,-0.22462476443476923,1.0593061479337151
1980Q4,15.852826086956524,0.6138227125358233,2.8593422459216034
1981Q1,16.595555555555563,0.04685154965587785,2.1816034259495614
1981Q2,17.78692307692307,0.07178834823451766,1.8249332969896574
1981Q3,17.594347826086967,-0.010826788309775322,1.669027685854571
1981Q4,13.58836956521739,-0.22768552153606697,1.370184295917096
1982Q1,14.207444444444453,0.045559172957124375,1.0709772510001332
1982Q2,14.514175824175814,0.021589482959498855,0.7514608970887834
1982Q3,11.012717391304346,-0.2412440413625965,1.4786533101313346
1982Q4,9.283913043478263,-0.15698253994887298,0.600829017973491
1983Q1,8.657555555555556,-0.06746697055318814,0.5051739295788055
1983Q2,8.802747252747249,0.01677051868278498,0.2772686861113673
1983Q3,9.458152173913044,0.07445458813568114,0.23458604807461628
1983Q4,9.43010869565217,-0.002965006033443055,0.3136123966111189
1984Q1,9.68857142857143,0.027408245361840573,0.28461112427923924
1984Q2,10.554725274725273,0.0893995417734724,0.6040683196448334
1984Q3,11.392282608695648,0.07935377872657855,0.33684738534371844
1984Q4,9.262499999999996,-0.18694959402341413,0.8672004027106625
1985Q1,8.475111111111111,-0.08500824711350981,0.26836267781017525
1985Q2,7.924395604395603,-0.06498032881167828,0.4621067909073458
1985Q3,7.900978260869565,-0.0029550952142077124,0.2789543260208262
1985Q4,8.104456521739133,0.02575355280716504,0.6510032226426113
1986Q1,7.826888888888884,-0.034248765738419416,0.672101591512294
1986Q2,6.918461538461545,-0.11606493503656981,0.17414504221049684
1986Q3,6.209456521739129,-0.10248015585269521,0.36247126185573014
1986Q4,6.266739130434782,0.009225059954137523,1.4068889446675625
1987Q1,6.222555555555557,-0.007050488932058034,0.8834922548017221
1987Q2,6.649999999999999,0.06869274860275296,0.3301245556183642
1987Q3,6.8395652173913035,0.028506047728015786,0.3526630650609648
1987Q4,6.9196739130434795,0.011712542114296908,0.3998226284954958
1988Q1,6.66593406593407,-0.03666933591062925,0.2115024455964629
1988Q2,7.15494505494505,0.0733597098582248,0.3480944112876845
1988Q3,7.983478260869564,0.11579868182941304,0.24284230302317814
1988Q4,8.468478260869563,0.0607504629125367,0.2990899558995898
1989Q1,9.446444444444442,0.11548310728903713,0.36321074796968533
1989Q2,9.725714285714291,0.029563487395947288,0.21900858865524395
1989Q3,9.083586956521737,-0.06602366780769504,0.18607325463842012
1989Q4,8.614456521739132,-0.05164594526678507,0.27529151035090976
1990Q1,8.247999999999998,-0.042539714584937355,0.07212972084524848
1990Q2,8.239340659340659,-0.0010498715639353435,0.12843331341640263
1990Q3,8.160217391304343,-0.009603106766391133,0.24084091808927927
1990Q4,7.743369565217389,-0.05108293150757893,0.5256503604879652
1991Q1,6.430444444444442,-0.16955475387233282,0.69217441315554
1991Q2,5.864065934065931,-0.08807766170312395,0.2395179326247622
1991Q3,5.645217391304345,-0.03732027320672444,0.2242177035724831
1991Q4,4.818478260869565,-0.14644947627849625,0.3922965204558638
1992Q1,4.024285714285713,-0.16482227449969403,0.23650296149023342
1992Q2,3.7740659340659364,-0.06217743917424344,0.24441757539086917
1992Q3,3.259239130434782,-0.1364117142162678,0.2638982225377356
1992Q4,3.034891304347828,-0.06883441720860362,0.3145465760344296
1993Q1,3.0423333333333344,0.0024521566801568987,0.22699824282842143
1993Q2,2.9972527472527473,-0.014817766872111482,0.15634055373564704
1993Q3,3.0577173913043483,0.020173355118957625,0.14842842105787987
1993Q4,2.9882608695652193,-0.022715154100458088,0.09287364328386163
1994Q1,3.209333333333334,0.07398030942334688,0.22448342698017598
1994Q2,3.9380219780219794,0.22705296365454264,0.387835073138111
1994Q3,4.485434782608695,0.13900704659390303,0.2851080884043429
1994Q4,5.167934782608696,0.15215916250666434,0.45549040844288724
