quarter,10YT_minus_2YT_avg,10YT_minus_2YT_percent_change_prev_quarter
2005Q4,0.12666666666666668,-0.5128205128205128
2006Q1,-0.03,-1.236842105263158
2006Q2,0.07666666666666667,-3.555555555555556
2006Q3,-0.03333333333333333,-1.434782608695652
2006Q4,-0.10666666666666667,2.2
2007Q1,-0.08666666666666667,-0.18750000000000003
2007Q2,0.04,-1.4615384615384617
2007Q3,0.35000000000000003,7.750000000000001
2007Q4,0.7833333333333333,1.238095238095238
2008Q1,1.64,1.0936170212765957
2008Q2,1.4633333333333332,-0.10772357723577242
2008Q3,1.5066666666666668,0.029612756264237133
2008Q4,2.0399999999999996,0.35398230088495536
2009Q1,1.8299999999999998,-0.10294117647058813
2009Q2,2.3,0.2568306010928962
2009Q3,2.483333333333333,0.07971014492753614
2009Q4,2.5866666666666664,0.04161073825503363
2010Q1,2.8000000000000003,0.0824742268041239
2010Q2,2.6199999999999997,-0.0642857142857145
2010Q3,2.2466666666666666,-0.1424936386768447
2010Q4,2.3800000000000003,0.05934718100890227
2011Q1,2.766666666666667,0.16246498599439776
2011Q2,2.643333333333333,-0.04457831325301227
2011Q3,2.143333333333333,-0.18915510718789408
2011Q4,1.7833333333333332,-0.16796267496111972
2012Q1,1.75,-0.018691588785046665
2012Q2,1.5333333333333332,-0.12380952380952388
2012Q3,1.3833333333333335,-0.09782608695652155
2012Q4,1.4366666666666665,0.03855421686746964
2013Q1,1.6833333333333333,0.17169373549884
2013Q2,1.7266666666666666,0.02574257425742568
2013Q3,2.3433333333333333,0.3571428571428572
2013Q4,2.42,0.032716927453769556
2014Q1,2.39,-0.012396694214875952
2014Q2,2.203333333333333,-0.0781032078103209
2014Q3,1.9799999999999998,-0.10136157337367628
2014Q4,1.7400000000000002,-0.121212121212121
2015Q1,1.3633333333333333,-0.21647509578544075
2015Q2,1.5533333333333335,0.13936430317848422
2015Q3,1.5266666666666666,-0.017167381974249035
2015Q4,1.3566666666666665,-0.11135371179039312
2016Q1,1.0833333333333333,-0.20147420147420142
2016Q2,0.9800000000000001,-0.09538461538461523
2016Q3,0.8366666666666666,-0.14625850340136073
2016Q4,1.1233333333333333,0.3426294820717133
2017Q1,1.2033333333333334,0.07121661721068256
2017Q2,0.9700000000000001,-0.1939058171745152
2017Q3,0.8799999999999999,-0.09278350515463936
2017Q4,0.6733333333333333,-0.23484848484848475
2018Q1,0.5966666666666667,-0.11386138613861385
2018Q2,0.4466666666666666,-0.25139664804469286
2018Q3,0.25333333333333335,-0.43283582089552225
2018Q4,0.23333333333333336,-0.07894736842105259
2019Q1,0.17,-0.27142857142857146
2019Q2,0.21333333333333335,0.2549019607843137
2019Q3,0.11,-0.48437500000000006
